entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
E0012,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,38128,gemini,1.0,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
E0013,LinhVuc,Kinh doanh bảo hiểm,Kinh doanh bảo hiểm,112025,gemini,1.0,"NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT KINH DOANH BẢO HIỂM"
E0014,DoiTuongApDung,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền","Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",38128,gemini,1.0,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
E0015,DoiTuongApDung,Nhà máy in tiền Quốc gia,Nhà máy in tiền Quốc gia,38128,gemini,1.0,2. Nhà máy in tiền Quốc gia.
E0016,DoiTuongApDung,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,38128,gemini,1.0,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
E0017,LinhVuc,Ngân hàng,Ngân hàng,166170,gemini,0.9,tổ chức nước ngoài khác có hoạt động ngân hàng
E0018,LinhVuc,Tín dụng,Tín dụng,166170,gemini,0.9,LUẬT CÁC TỔ CHỨC TÍN DỤNG
E0019,NguoiKy,Thống đốc Ngân hàng Nhà nước Việt Nam,Thống đốc Ngân hàng Nhà nước Việt Nam,38128,gemini,0.9,"Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư quy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam."
E0020,LinhVuc,Phát hành tiền,Phát hành tiền,38128,gemini,0.9,Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02/5/2012 của Chính phủ về nghiệp vụ phát hành tiền
E0021,LinhVuc,"Thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền","Thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền",38128,gemini,0.9,"THÔNG TƯ Q uy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam"
